OMRP,men,women,pop_total,mean_age,age_0_14,age_15_24,age_25_44,age_45_64,age_65_plus,pct_0_14,pct_65_plus,pct_women
11514,9,10,19,51.8421052631579,3,0,1,8,7,15.789473684210526,36.8421052631579,52.63157894736842
11601,112,108,220,41.88181818181818,23,19,70,78,30,10.454545454545455,13.636363636363637,49.09090909090909
11602,38,32,70,44.642857142857146,9,6,16,25,14,12.857142857142858,20.0,45.714285714285715
11603,78,73,151,42.2317880794702,25,16,31,52,27,16.556291390728475,17.880794701986755,48.34437086092715
11604,398,383,781,39.09090909090909,157,79,205,224,116,20.102432778489117,14.852752880921894,49.039692701664535
11701,506,527,1033,38.005808325266216,145,191,310,233,154,14.036786060019361,14.908034849951598,51.01645692158761
11702,459,481,940,34.19893617021277,150,178,326,192,94,15.957446808510639,10.0,51.170212765957444
11703,539,553,1092,35.667582417582416,146,248,335,241,122,13.36996336996337,11.172161172161172,50.64102564102564
11704,419,471,890,43.321348314606745,162,107,161,227,233,18.202247191011235,26.179775280898877,52.92134831460674
11705,487,554,1041,36.984630163304516,96,255,313,251,126,9.221902017291066,12.103746397694524,53.2180595581172
11706,108,148,256,36.13671875,46,45,62,77,26,17.96875,10.15625,57.8125
11707,9,16,25,78.48,0,0,0,3,22,0.0,88.0,64.0
11708,358,383,741,42.19028340080972,102,94,207,189,149,13.765182186234817,20.10796221322537,51.686909581646425
11709,38,37,75,24.426666666666666,0,45,30,0,0,0.0,0.0,49.333333333333336
11710,48,45,93,24.27956989247312,0,62,30,1,0,0.0,0.0,48.38709677419355
11711,427,492,919,36.138193688792164,67,203,357,201,91,7.290533188248096,9.902067464635474,53.53645266594124
11712,98,108,206,39.33495145631068,37,30,40,73,26,17.961165048543688,12.62135922330097,52.42718446601942
11801,65,57,122,46.00819672131148,21,14,13,34,40,17.21311475409836,32.78688524590164,46.721311475409834
11802,205,188,393,39.49363867684478,84,37,95,115,62,21.374045801526716,15.776081424936386,47.837150127226465
11803,156,170,326,49.0920245398773,51,33,45,87,110,15.644171779141104,33.74233128834356,52.147239263803684
11804,45,52,97,44.65979381443299,12,8,22,32,23,12.371134020618557,23.711340206185568,53.608247422680414
11805,23,9,32,62.875,0,0,2,16,14,0.0,43.75,28.125
11806,2,9,11,77.0,0,0,0,2,9,0.0,81.81818181818181,81.81818181818181
11807,1054,1066,2120,39.698584905660375,438,219,553,520,390,20.660377358490567,18.39622641509434,50.283018867924525
11808,4,15,19,76.84210526315789,0,0,0,3,16,0.0,84.21052631578948,78.94736842105263
11809,15,10,25,40.2,2,4,7,10,2,8.0,8.0,40.0
11810,138,178,316,39.23101265822785,45,38,108,74,51,14.240506329113924,16.139240506329113,56.32911392405063
11811,11,17,28,42.67857142857143,5,1,9,6,7,17.857142857142858,25.0,60.714285714285715
11812,74,67,141,36.40425531914894,28,21,41,34,17,19.858156028368793,12.056737588652481,47.5177304964539
11901,258,222,480,41.80416666666667,50,39,171,158,62,10.416666666666666,12.916666666666666,46.25
11902,231,215,446,37.271300448430495,55,87,150,101,53,12.331838565022421,11.883408071748878,48.20627802690583
11903,34,27,61,41.18032786885246,7,5,21,19,9,11.475409836065573,14.754098360655737,44.26229508196721
11904,28,26,54,41.111111111111114,9,3,17,17,8,16.666666666666668,14.814814814814815,48.148148148148145
11905,101,103,204,39.30392156862745,46,14,57,48,39,22.54901960784314,19.11764705882353,50.490196078431374
11906,18,27,45,83.6,0,0,0,2,43,0.0,95.55555555555556,60.0
11907,21,48,69,86.8840579710145,0,0,0,3,66,0.0,95.65217391304348,69.56521739130434
11908,13,32,45,38.82222222222222,8,7,13,12,5,17.77777777777778,11.11111111111111,71.11111111111111
11909,299,280,579,37.50777202072539,47,111,247,89,85,8.117443868739205,14.680483592400691,48.35924006908463
11910,7,9,16,38.375,0,5,5,6,0,0.0,0.0,56.25
11911,352,325,677,37.48301329394387,104,93,215,187,78,15.36189069423929,11.521418020679468,48.005908419497786
11912,17,7,24,23.958333333333332,0,16,8,0,0,0.0,0.0,29.166666666666668
11913,286,213,499,23.723446893787575,4,331,161,3,0,0.8016032064128257,0.0,42.68537074148296
11914,129,142,271,35.239852398523986,64,30,87,52,38,23.616236162361623,14.022140221402214,52.398523985239855
11915,381,308,689,35.12917271407837,58,130,305,139,57,8.417997097242381,8.272859216255442,44.70246734397678
11916,271,274,545,36.46238532110092,124,76,133,141,71,22.75229357798165,13.027522935779816,50.27522935779817
11917,194,241,435,48.51954022988506,61,35,70,128,141,14.022988505747126,32.41379310344828,55.40229885057471
11918,47,65,112,64.9375,1,1,7,35,68,0.8928571428571429,60.714285714285715,58.035714285714285
11919,228,261,489,37.77914110429448,58,73,191,90,77,11.860940695296524,15.74642126789366,53.374233128834355
11920,142,118,260,42.84615384615385,42,20,73,65,60,16.153846153846153,23.076923076923077,45.38461538461539
11921,291,243,534,38.31460674157304,80,72,187,115,80,14.9812734082397,14.9812734082397,45.50561797752809
11922,283,300,583,43.57804459691252,85,65,129,178,126,14.579759862778731,21.612349914236706,51.45797598627787
11923,89,61,150,42.04666666666667,14,12,53,50,21,9.333333333333334,14.0,40.666666666666664
11924,35,34,69,42.768115942028984,4,7,22,30,6,5.797101449275362,8.695652173913043,49.27536231884058
11925,24,27,51,36.529411764705884,6,9,14,20,2,11.764705882352942,3.9215686274509802,52.94117647058823
12001,444,489,933,48.745980707395496,145,60,171,222,335,15.541264737406216,35.90568060021436,52.41157556270097
12002,97,87,184,38.255434782608695,34,19,57,45,29,18.47826086956522,15.76086956521739,47.28260869565217
12003,23,49,72,85.73611111111111,0,0,0,0,72,0.0,100.0,68.05555555555556
12004,619,626,1245,45.958232931726904,231,93,238,317,366,18.55421686746988,29.397590361445783,50.28112449799197
12005,16,21,37,74.75675675675676,0,0,1,8,28,0.0,75.67567567567568,56.75675675675676
12006,557,696,1253,44.66560255387071,191,137,225,407,293,15.24341580207502,23.383878691141263,55.54668794892259
12007,2,3,5,23.0,0,4,1,0,0,0.0,0.0,60.0
12008,598,657,1255,35.52270916334661,386,98,319,274,178,30.756972111553786,14.183266932270916,52.35059760956175
12009,83,78,161,40.267080745341616,28,27,36,40,30,17.391304347826086,18.633540372670808,48.4472049689441
12010,42,36,78,43.38461538461539,10,15,12,21,20,12.820512820512821,25.641025641025642,46.15384615384615
12101,48,38,86,40.26744186046512,21,8,16,24,17,24.41860465116279,19.767441860465116,44.18604651162791
12102,262,275,537,47.374301675977655,97,39,94,136,171,18.063314711359403,31.843575418994412,51.21042830540037
12103,1051,1071,2122,43.895852968897266,398,190,444,543,547,18.75589066918002,25.777568331762488,50.471253534401505
12104,3,15,18,80.33333333333333,0,0,0,3,15,0.0,83.33333333333333,83.33333333333333
12105,199,141,340,42.529411764705884,53,26,88,124,49,15.588235294117647,14.411764705882353,41.470588235294116
12106,1184,1232,2416,38.957367549668874,579,182,661,476,518,23.96523178807947,21.44039735099338,50.99337748344371
12107,75,65,140,42.885714285714286,26,9,37,38,30,18.571428571428573,21.428571428571427,46.42857142857143
12108,162,150,312,37.49038461538461,72,30,90,71,49,23.076923076923077,15.705128205128204,48.07692307692308
12201,244,226,470,35.52553191489362,79,83,151,105,52,16.80851063829787,11.063829787234043,48.08510638297872
12202,606,624,1230,35.43414634146342,212,203,375,329,111,17.235772357723576,9.024390243902438,50.73170731707317
12203,356,356,712,33.657303370786515,63,206,269,106,68,8.848314606741573,9.55056179775281,50.0
12204,242,208,450,34.19555555555556,25,138,176,66,45,5.555555555555555,10.0,46.22222222222222
12205,102,81,183,34.77049180327869,14,44,72,38,15,7.6502732240437155,8.19672131147541,44.26229508196721
12206,699,568,1267,29.472770323599054,147,431,461,175,53,11.602209944751381,4.183109707971586,44.83030781373323
12207,305,340,645,36.11162790697674,62,154,217,142,70,9.612403100775193,10.852713178294573,52.713178294573645
12208,183,180,363,38.09366391184573,47,54,111,113,38,12.947658402203857,10.46831955922865,49.586776859504134
12209,219,234,453,37.29359823399559,21,109,172,96,55,4.635761589403973,12.141280353200884,51.65562913907285
12210,276,292,568,33.894366197183096,147,71,178,90,82,25.880281690140844,14.43661971830986,51.40845070422535
12211,39,30,69,43.14492753623188,14,5,15,15,20,20.28985507246377,28.985507246376812,43.47826086956522
12212,27,27,54,76.27777777777777,0,0,4,6,44,0.0,81.48148148148148,50.0
12213,15,10,25,64.0,0,0,2,8,15,0.0,60.0,40.0
12214,10,17,27,75.51851851851852,0,0,1,6,20,0.0,74.07407407407408,62.96296296296296
12215,5,13,18,75.0,0,0,0,3,15,0.0,83.33333333333333,72.22222222222223
12216,19,11,30,67.46666666666667,0,0,2,13,15,0.0,50.0,36.666666666666664
12217,17,20,37,22.945945945945947,2,22,13,0,0,5.405405405405405,0.0,54.054054054054056
12218,40,42,82,26.817073170731707,4,35,38,4,1,4.878048780487805,1.2195121951219512,51.21951219512195
12219,48,62,110,23.62727272727273,1,76,33,0,0,0.9090909090909091,0.0,56.36363636363637
12220,259,226,485,32.83505154639175,17,148,226,55,39,3.5051546391752577,8.041237113402062,46.597938144329895
12221,42,25,67,22.47761194029851,0,56,11,0,0,0.0,0.0,37.3134328358209
12222,17,12,29,23.79310344827586,0,20,9,0,0,0.0,0.0,41.37931034482759
12223,41,43,84,41.107142857142854,3,27,27,3,24,3.5714285714285716,28.571428571428573,51.19047619047619
