hex_id,hex_area_m2,pop_M1_val,pop_M1,pop_M2_val,pop_M2,pop_M3_val,pop_M3,pop_M3_folk,pop_M4,pop_M5,pop_M6,age_0_14_M6,age_65plus_M6,pop_total,age_0_14,age_65plus,pop_density_km2,pct_0_14,pct_65plus,pop_M3_komm21,source
76,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
77,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
78,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
79,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
80,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
81,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
82,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
83,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
84,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
85,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
86,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
87,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
88,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
89,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
90,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
91,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
